时间,教室,温度,光照,人员数,空调,照明
22:55:52,A-101,26.5,535.0,0,制冷中,调暗
22:55:54,A-101,23.2,405.0,0,待机,维持
22:55:56,A-101,26.7,301.0,0,制冷中,维持
22:55:58,A-101,23.8,347.0,0,待机,维持
22:56:01,A-101,21.9,354.0,0,制热中,维持
22:56:03,A-101,21.4,417.0,0,制热中,维持
22:56:05,A-101,21.7,260.0,0,制热中,维持
22:56:07,A-101,26.9,364.0,0,制冷中,维持
22:56:09,A-101,26.7,460.0,0,制冷中,维持
22:56:11,A-101,21.4,327.0,0,制热中,维持
22:56:13,A-101,24.1,500.0,0,待机,维持
22:56:16,A-101,23.6,349.0,0,待机,维持
22:56:18,A-101,25.1,493.0,0,待机,维持
22:56:20,A-101,24.1,304.0,0,待机,维持
22:56:22,A-101,25.1,316.0,0,待机,维持
22:56:24,A-101,24.4,513.0,0,待机,调暗
22:56:26,A-101,22.0,406.0,0,待机,维持
22:56:28,A-101,24.0,366.0,0,待机,维持
22:56:30,A-101,26.3,546.0,0,制冷中,调暗
22:56:33,A-101,21.4,468.0,0,制热中,维持
22:56:35,A-101,24.8,432.0,0,待机,维持
22:56:37,A-101,24.5,425.0,0,待机,维持
22:56:39,A-101,25.2,524.0,0,待机,调暗
22:56:41,A-101,24.5,331.0,0,待机,维持
22:56:43,A-101,25.5,318.0,0,待机,维持
22:56:45,A-101,26.8,327.0,0,制冷中,维持
22:56:47,A-101,25.9,492.0,0,待机,维持
22:56:50,A-101,21.7,387.0,0,制热中,维持
22:56:52,A-101,25.2,523.0,0,待机,调暗
22:56:54,A-101,24.8,342.0,0,待机,维持
22:56:56,A-101,21.6,494.0,0,制热中,维持
22:56:58,A-101,21.7,447.0,0,制热中,维持
22:57:00,A-101,25.5,263.0,0,待机,维持
22:57:02,A-101,25.9,364.0,0,待机,维持
22:57:05,A-101,21.9,285.0,0,制热中,维持
22:57:07,A-101,23.3,545.0,0,待机,调暗
22:57:09,A-101,21.5,428.0,0,制热中,维持
22:57:11,A-101,21.7,268.0,0,制热中,维持
22:57:13,A-101,26.8,442.0,0,制冷中,维持
22:57:15,A-101,24.2,420.0,0,待机,维持
22:57:17,A-101,22.1,289.0,0,待机,维持
22:57:19,A-101,25.4,436.0,0,待机,维持
22:57:21,A-101,23.6,381.0,0,待机,维持
22:57:24,A-101,21.0,376.0,0,制热中,维持
22:57:26,A-101,22.6,431.0,0,待机,维持
22:57:28,A-101,24.2,445.0,0,待机,维持
22:57:30,A-101,26.1,482.0,0,制冷中,维持
22:57:32,A-101,23.4,419.0,0,待机,维持
22:57:34,A-101,26.5,361.0,0,制冷中,维持
22:57:36,A-101,24.3,531.0,0,待机,调暗
22:57:38,A-101,21.6,527.0,0,制热中,调暗
22:57:40,A-101,24.9,545.0,0,待机,调暗
22:57:43,A-101,26.2,488.0,0,制冷中,维持
22:57:45,A-101,21.5,504.0,0,制热中,调暗
22:57:47,A-101,25.7,282.0,0,待机,维持
22:57:49,A-101,23.1,324.0,0,待机,维持
22:57:51,A-101,23.0,401.0,0,待机,维持
22:57:53,A-101,24.1,407.0,0,待机,维持
22:57:55,A-101,21.2,391.0,0,制热中,维持
22:57:58,A-101,22.4,421.0,0,待机,维持
22:58:00,A-101,26.8,311.0,0,制冷中,维持
22:58:02,A-101,26.6,344.0,0,制冷中,维持
22:58:04,A-101,26.1,305.0,0,制冷中,维持
22:58:06,A-101,21.4,345.0,0,制热中,维持
22:58:08,A-101,24.0,476.0,0,待机,维持
22:58:10,A-101,21.7,423.0,0,制热中,维持
22:58:13,A-101,24.8,334.0,0,待机,维持
22:58:15,A-101,24.0,333.0,0,待机,维持
22:58:17,A-101,23.3,313.0,0,待机,维持
22:58:19,A-101,21.1,274.0,0,制热中,维持
22:58:21,A-101,24.1,502.0,0,待机,调暗
22:58:23,A-101,23.1,303.0,0,待机,维持
22:58:25,A-101,26.1,529.0,0,制冷中,调暗
22:58:28,A-101,23.7,501.0,0,待机,调暗
22:58:30,A-101,24.1,272.0,0,待机,维持
22:58:32,A-101,25.0,507.0,0,待机,调暗
22:58:34,A-101,24.1,479.0,0,待机,维持
22:58:36,A-101,24.5,453.0,0,待机,维持
22:58:38,A-101,24.4,409.0,0,待机,维持
22:58:40,A-101,24.5,339.0,0,待机,维持
22:58:43,A-101,25.2,329.0,0,待机,维持
22:58:45,A-101,21.8,513.0,0,制热中,调暗
22:58:47,A-101,21.3,498.0,0,制热中,维持
22:58:49,A-101,21.9,472.0,0,制热中,维持
22:58:51,A-101,24.8,488.0,0,待机,维持
22:58:53,A-101,23.3,476.0,0,待机,维持
22:58:55,A-101,21.9,357.0,0,制热中,维持
22:58:58,A-101,24.3,293.0,0,待机,维持
22:59:00,A-101,23.9,320.0,0,待机,维持
22:59:02,A-101,23.2,545.0,0,待机,调暗
22:59:04,A-101,23.2,307.0,0,待机,维持
22:59:06,A-101,25.3,541.0,0,待机,调暗
22:59:08,A-101,22.4,340.0,0,待机,维持
22:59:10,A-101,25.3,256.0,0,待机,维持
22:59:12,A-101,26.8,435.0,0,制冷中,维持
22:59:15,A-101,22.1,307.0,0,待机,维持
22:59:17,A-101,25.0,438.0,0,待机,维持
22:59:19,A-101,25.7,543.0,0,待机,调暗
22:59:21,A-101,21.8,405.0,0,制热中,维持
22:59:23,A-101,25.5,283.0,0,待机,维持
22:59:26,A-101,26.3,410.0,0,制冷中,维持
22:59:28,A-101,21.7,520.0,0,制热中,调暗
22:59:30,A-101,25.4,417.0,0,待机,维持
22:59:32,A-101,25.0,338.0,0,待机,维持
22:59:34,A-101,23.5,410.0,0,待机,维持
22:59:36,A-101,23.8,382.0,0,待机,维持
22:59:38,A-101,25.0,376.0,0,待机,维持
22:59:40,A-101,21.2,440.0,0,制热中,维持
22:59:42,A-101,24.0,357.0,0,待机,维持
22:59:45,A-101,21.5,287.0,0,制热中,维持
22:59:47,A-101,25.4,351.0,0,待机,维持
22:59:49,A-101,25.1,469.0,0,待机,维持
22:59:51,A-101,26.5,401.0,0,制冷中,维持
22:59:53,A-101,23.6,331.0,0,待机,维持
22:59:55,A-101,25.6,529.0,0,待机,调暗
22:59:58,A-101,25.3,287.0,0,待机,维持
23:00:00,A-101,25.7,535.0,0,待机,调暗
23:00:02,A-101,25.3,372.0,0,待机,维持
23:00:04,A-101,25.6,286.0,0,待机,维持
23:00:06,A-101,21.2,280.0,0,制热中,维持
23:00:08,A-101,27.0,497.0,0,制冷中,维持
23:00:11,A-101,24.9,537.0,0,待机,调暗
23:00:13,A-101,21.8,387.0,0,制热中,维持
23:00:15,A-101,22.7,472.0,0,待机,维持
23:00:17,A-101,22.5,511.0,0,待机,调暗
23:00:19,A-101,22.6,485.0,0,待机,维持
23:00:21,A-101,25.5,402.0,0,待机,维持
23:00:24,A-101,22.9,480.0,0,待机,维持
23:00:26,A-101,21.0,468.0,0,制热中,维持
23:00:28,A-101,21.8,548.0,0,制热中,调暗
23:00:30,A-101,21.2,327.0,0,制热中,维持
23:00:32,A-101,23.2,365.0,0,待机,维持
23:00:35,A-101,24.5,403.0,0,待机,维持
23:00:37,A-101,23.8,391.0,0,待机,维持
23:00:39,A-101,23.5,357.0,0,待机,维持
23:00:41,A-101,23.0,495.0,0,待机,维持
23:00:43,A-101,25.7,360.0,0,待机,维持
23:00:45,A-101,26.4,478.0,0,制冷中,维持
23:00:48,A-101,26.4,374.0,0,制冷中,维持
23:00:50,A-101,23.4,493.0,0,待机,维持
23:00:52,A-101,24.7,502.0,0,待机,调暗
23:00:54,A-101,23.8,299.0,0,待机,维持
23:00:56,A-101,22.8,333.0,0,待机,维持
23:00:58,A-101,25.6,416.0,0,待机,维持
23:01:00,A-101,24.9,449.0,0,待机,维持
23:01:02,A-101,26.8,495.0,0,制冷中,维持
23:01:05,A-101,25.0,335.0,0,待机,维持
23:01:07,A-101,26.1,503.0,0,制冷中,调暗
23:01:09,A-101,25.7,320.0,0,待机,维持
23:01:11,A-101,21.5,460.0,0,制热中,维持
23:01:13,A-101,23.1,529.0,0,待机,调暗
23:01:15,A-101,24.0,405.0,0,待机,维持
23:01:17,A-101,25.8,472.0,0,待机,维持
23:01:19,A-101,22.4,506.0,0,待机,调暗
23:01:22,A-101,26.8,276.0,0,制冷中,维持
23:01:24,A-101,24.1,270.0,0,待机,维持
23:01:26,A-101,22.5,267.0,0,待机,维持
23:01:28,A-101,22.5,281.0,0,待机,维持
23:01:30,A-101,21.9,437.0,0,制热中,维持
23:01:32,A-101,23.4,324.0,0,待机,维持
23:01:34,A-101,24.5,333.0,0,待机,维持
23:01:37,A-101,21.9,314.0,0,制热中,维持
23:01:39,A-101,24.9,271.0,0,待机,维持
23:01:41,A-101,21.9,292.0,0,制热中,维持
23:01:43,A-101,22.9,485.0,0,待机,维持
23:01:45,A-101,22.6,453.0,0,待机,维持
23:01:47,A-101,24.2,528.0,0,待机,调暗
23:01:49,A-101,26.4,256.0,0,制冷中,维持
23:01:52,A-101,23.2,285.0,0,待机,维持
23:01:54,A-101,24.6,515.0,0,待机,调暗
23:01:56,A-101,25.4,513.0,0,待机,调暗
23:01:58,A-101,25.6,445.0,0,待机,维持
23:02:00,A-101,26.6,405.0,0,制冷中,维持
23:02:02,A-101,26.4,392.0,0,制冷中,维持
23:02:04,A-101,23.1,280.0,0,待机,维持
23:02:07,A-101,22.0,400.0,0,待机,维持
23:02:09,A-101,25.0,493.0,0,待机,维持
23:02:11,A-101,25.3,332.0,0,待机,维持
23:02:13,A-101,23.3,279.0,0,待机,维持
23:02:15,A-101,23.9,380.0,0,待机,维持
23:02:17,A-101,22.4,270.0,0,待机,维持
23:02:19,A-101,25.6,302.0,0,待机,维持
23:02:21,A-101,26.0,526.0,0,待机,调暗
23:02:24,A-101,25.3,441.0,0,待机,维持
23:02:26,A-101,25.9,383.0,0,待机,维持
23:02:28,A-101,21.2,345.0,0,制热中,维持
23:02:30,A-101,23.5,458.0,0,待机,维持
23:02:32,A-101,26.0,459.0,0,待机,维持
23:02:34,A-101,23.0,494.0,0,待机,维持
23:02:36,A-101,25.5,484.0,0,待机,维持
23:02:39,A-101,21.2,424.0,0,制热中,维持
23:02:41,A-101,23.0,323.0,0,待机,维持
23:02:43,A-101,25.8,306.0,0,待机,维持
23:02:45,A-101,21.5,394.0,0,制热中,维持
23:02:47,A-101,26.4,259.0,0,制冷中,维持
23:02:49,A-101,24.3,509.0,0,待机,调暗
23:02:51,A-101,22.9,278.0,0,待机,维持
23:02:53,A-101,26.1,427.0,0,制冷中,维持
23:02:56,A-101,21.4,352.0,0,制热中,维持
23:02:58,A-101,21.1,537.0,0,制热中,调暗
23:03:00,A-101,23.9,258.0,0,待机,维持
23:03:02,A-101,23.2,257.0,0,待机,维持
23:03:04,A-101,25.8,353.0,0,待机,维持
23:03:06,A-101,22.1,482.0,0,待机,维持
23:03:08,A-101,25.0,324.0,0,待机,维持
23:03:11,A-101,23.1,472.0,0,待机,维持
23:03:13,A-101,21.7,545.0,0,制热中,调暗
23:03:15,A-101,21.9,296.0,0,制热中,维持
23:03:17,A-101,24.2,449.0,0,待机,维持
23:03:19,A-101,26.7,294.0,0,制冷中,维持
23:03:21,A-101,21.4,304.0,0,制热中,维持
23:03:23,A-101,25.9,335.0,0,待机,维持
23:03:25,A-101,22.8,424.0,0,待机,维持
23:03:28,A-101,23.6,360.0,0,待机,维持
23:03:30,A-101,24.4,334.0,0,待机,维持
23:03:32,A-101,26.2,507.0,0,制冷中,调暗
23:03:34,A-101,22.6,536.0,0,待机,调暗
23:03:36,A-101,26.4,263.0,0,制冷中,维持
23:03:39,A-101,25.8,449.0,0,待机,维持
23:03:41,A-101,25.2,499.0,0,待机,维持
23:03:43,A-101,23.6,440.0,0,待机,维持
23:03:45,A-101,25.5,363.0,0,待机,维持
23:03:47,A-101,21.6,320.0,0,制热中,维持
23:03:49,A-101,23.3,359.0,0,待机,维持
23:03:51,A-101,23.5,305.0,0,待机,维持
23:03:54,A-101,23.7,435.0,0,待机,维持
23:03:56,A-101,22.6,285.0,0,待机,维持
23:03:58,A-101,22.9,492.0,0,待机,维持
23:04:00,A-101,26.2,474.0,0,制冷中,维持
23:04:02,A-101,22.7,292.0,0,待机,维持
23:04:04,A-101,25.1,307.0,0,待机,维持
23:04:06,A-101,22.3,285.0,0,待机,维持
23:04:08,A-101,23.5,377.0,0,待机,维持
23:04:10,A-101,26.2,375.0,0,制冷中,维持
23:04:13,A-101,25.9,373.0,0,待机,维持
23:04:15,A-101,25.0,375.0,0,待机,维持
23:04:17,A-101,23.9,402.0,0,待机,维持
23:04:19,A-101,26.3,255.0,0,制冷中,维持
23:04:21,A-101,23.3,375.0,0,待机,维持
23:04:23,A-101,21.7,532.0,0,制热中,调暗
23:04:25,A-101,22.2,294.0,0,待机,维持
23:04:28,A-101,21.5,326.0,0,制热中,维持
23:04:30,A-101,26.3,399.0,0,制冷中,维持
23:04:32,A-101,23.7,374.0,0,待机,维持
23:04:34,A-101,24.2,523.0,0,待机,调暗
23:04:36,A-101,26.2,251.0,0,制冷中,维持
23:04:38,A-101,26.4,359.0,0,制冷中,维持
23:04:40,A-101,26.6,284.0,0,制冷中,维持
23:04:42,A-101,25.8,496.0,0,待机,维持
23:04:45,A-101,23.9,444.0,0,待机,维持
23:04:47,A-101,24.5,396.0,0,待机,维持
23:04:49,A-101,24.1,320.0,0,待机,维持
23:04:51,A-101,24.5,507.0,0,待机,调暗
23:04:53,A-101,22.0,432.0,0,待机,维持
23:04:55,A-101,22.6,438.0,0,待机,维持
23:04:57,A-101,21.5,348.0,0,制热中,维持
23:04:59,A-101,21.7,312.0,0,制热中,维持
23:05:02,A-101,24.1,353.0,0,待机,维持
23:05:04,A-101,23.9,465.0,0,待机,维持
23:05:06,A-101,26.5,443.0,0,制冷中,维持
23:05:08,A-101,23.8,368.0,0,待机,维持
23:05:10,A-101,23.2,291.0,0,待机,维持
23:05:12,A-101,26.0,463.0,0,待机,维持
23:05:14,A-101,24.5,478.0,0,待机,维持
23:05:17,A-101,23.9,303.0,0,待机,维持
23:05:19,A-101,25.0,419.0,0,待机,维持
23:05:21,A-101,26.6,258.0,0,制冷中,维持
23:05:23,A-101,25.8,509.0,0,待机,调暗
23:05:25,A-101,21.2,339.0,0,制热中,维持
23:05:27,A-101,22.5,253.0,0,待机,维持
23:05:29,A-101,23.8,349.0,0,待机,维持
23:05:31,A-101,25.9,289.0,0,待机,维持
23:05:34,A-101,23.8,507.0,0,待机,调暗
23:05:36,A-101,24.2,380.0,0,待机,维持
23:05:38,A-101,22.8,447.0,0,待机,维持
23:05:40,A-101,22.8,529.0,0,待机,调暗
23:05:42,A-101,23.9,303.0,0,待机,维持
23:05:44,A-101,22.2,282.0,0,待机,维持
23:05:46,A-101,22.2,379.0,0,待机,维持
23:05:48,A-101,23.1,537.0,0,待机,调暗
23:05:50,A-101,26.0,521.0,0,待机,调暗
23:05:53,A-101,24.9,266.0,0,待机,维持
23:05:55,A-101,25.5,420.0,0,待机,维持
23:05:57,A-101,24.1,430.0,0,待机,维持
23:05:59,A-101,22.9,299.0,0,待机,维持
23:06:01,A-101,22.0,374.0,0,待机,维持
23:06:04,A-101,21.3,483.0,0,制热中,维持
23:06:06,A-101,25.9,538.0,0,待机,调暗
23:06:08,A-101,21.9,387.0,0,制热中,维持
23:06:10,A-101,21.5,466.0,0,制热中,维持
23:06:12,A-101,25.1,291.0,0,待机,维持
23:06:14,A-101,23.8,531.0,0,待机,调暗
23:06:16,A-101,22.0,505.0,0,待机,调暗
23:06:19,A-101,22.6,506.0,0,待机,调暗
23:06:21,A-101,22.3,349.0,0,待机,维持
23:06:23,A-101,23.2,392.0,0,待机,维持
23:06:25,A-101,21.0,317.0,0,制热中,维持
23:06:27,A-101,26.1,488.0,0,制冷中,维持
23:06:29,A-101,25.2,434.0,0,待机,维持
23:06:32,A-101,24.3,398.0,0,待机,维持
23:06:34,A-101,21.7,448.0,0,制热中,维持
23:06:36,A-101,21.6,520.0,0,制热中,调暗
23:06:38,A-101,23.5,436.0,0,待机,维持
23:06:40,A-101,27.0,433.0,0,制冷中,维持
23:06:42,A-101,21.0,453.0,0,制热中,维持
23:06:44,A-101,26.6,313.0,0,制冷中,维持
23:06:46,A-101,23.5,314.0,0,待机,维持
23:06:49,A-101,26.4,349.0,0,制冷中,维持
23:06:51,A-101,22.6,263.0,0,待机,维持
23:06:53,A-101,23.3,322.0,0,待机,维持
23:06:55,A-101,26.5,463.0,0,制冷中,维持
23:06:57,A-101,21.0,328.0,0,制热中,维持
23:06:59,A-101,24.8,459.0,0,待机,维持
23:07:01,A-101,26.3,359.0,0,制冷中,维持
23:07:04,A-101,22.7,519.0,0,待机,调暗
23:07:06,A-101,21.5,420.0,0,制热中,维持
23:07:08,A-101,25.4,415.0,0,待机,维持
23:07:10,A-101,23.8,489.0,0,待机,维持
23:07:12,A-101,26.5,456.0,0,制冷中,维持
23:07:14,A-101,21.2,324.0,0,制热中,维持
23:07:16,A-101,23.1,270.0,0,待机,维持
23:07:18,A-101,26.7,318.0,0,制冷中,维持
23:07:21,A-101,24.6,548.0,0,待机,调暗
23:07:23,A-101,24.7,427.0,0,待机,维持
23:07:25,A-101,22.5,499.0,0,待机,维持
23:07:27,A-101,23.2,420.0,0,待机,维持
23:07:29,A-101,23.3,437.0,0,待机,维持
23:07:31,A-101,26.6,334.0,0,制冷中,维持
23:07:33,A-101,25.9,499.0,0,待机,维持
23:07:36,A-101,21.7,421.0,0,制热中,维持
23:07:38,A-101,26.0,499.0,0,待机,维持
23:07:40,A-101,26.4,440.0,0,制冷中,维持
23:07:42,A-101,25.0,453.0,0,待机,维持
23:07:44,A-101,24.3,363.0,0,待机,维持
23:07:46,A-101,26.7,526.0,0,制冷中,调暗
23:07:48,A-101,26.9,482.0,0,制冷中,维持
23:07:50,A-101,26.6,398.0,0,制冷中,维持
23:07:53,A-101,26.4,423.0,0,制冷中,维持
23:07:55,A-101,22.2,518.0,0,待机,调暗
23:07:57,A-101,24.7,390.0,0,待机,维持
23:07:59,A-101,23.5,342.0,0,待机,维持
23:08:01,A-101,26.1,277.0,0,制冷中,维持
23:08:03,A-101,22.2,479.0,0,待机,维持
23:08:05,A-101,24.6,470.0,0,待机,维持
23:08:07,A-101,26.7,356.0,0,制冷中,维持
23:08:10,A-101,21.9,431.0,0,制热中,维持
23:08:12,A-101,23.0,282.0,0,待机,维持
23:08:14,A-101,25.1,263.0,0,待机,维持
23:08:16,A-101,22.9,451.0,0,待机,维持
23:08:18,A-101,22.8,416.0,0,待机,维持
23:08:20,A-101,26.6,520.0,0,制冷中,调暗
23:08:22,A-101,26.1,430.0,0,制冷中,维持
23:08:24,A-101,23.7,324.0,0,待机,维持
23:08:27,A-101,23.0,278.0,0,待机,维持
23:08:29,A-101,26.8,466.0,0,制冷中,维持
23:08:31,A-101,21.5,378.0,0,制热中,维持
23:08:33,A-101,24.3,273.0,0,待机,维持
23:08:35,A-101,22.7,371.0,0,待机,维持
23:08:37,A-101,23.5,443.0,0,待机,维持
23:08:39,A-101,25.4,531.0,0,待机,调暗
23:08:42,A-101,26.9,458.0,0,制冷中,维持
23:08:44,A-101,24.1,278.0,0,待机,维持
23:08:46,A-101,24.8,362.0,0,待机,维持
23:08:48,A-101,21.8,338.0,0,制热中,维持
23:08:50,A-101,25.2,365.0,0,待机,维持
23:08:52,A-101,22.6,481.0,0,待机,维持
23:08:54,A-101,25.3,370.0,0,待机,维持
23:08:56,A-101,25.1,399.0,0,待机,维持
23:08:59,A-101,25.0,326.0,0,待机,维持
23:09:01,A-101,23.9,456.0,0,待机,维持
23:09:03,A-101,24.6,438.0,0,待机,维持
23:09:05,A-101,25.8,394.0,0,待机,维持
23:09:07,A-101,25.4,383.0,0,待机,维持
23:09:09,A-101,21.5,380.0,0,制热中,维持
23:09:11,A-101,26.0,391.0,0,待机,维持
23:09:13,A-101,21.6,318.0,0,制热中,维持
23:09:15,A-101,21.8,318.0,0,制热中,维持
23:09:18,A-101,21.7,520.0,0,制热中,调暗
23:09:20,A-101,26.8,256.0,0,制冷中,维持
23:09:22,A-101,22.8,425.0,0,待机,维持
23:09:24,A-101,25.0,345.0,0,待机,维持
23:09:26,A-101,21.2,527.0,0,制热中,调暗
23:09:28,A-101,25.7,380.0,0,待机,维持
23:09:30,A-101,22.4,361.0,0,待机,维持
23:09:33,A-101,26.1,263.0,0,制冷中,维持
23:09:35,A-101,23.1,431.0,0,待机,维持
23:09:37,A-101,26.2,431.0,0,制冷中,维持
23:09:39,A-101,21.5,421.0,0,制热中,维持
23:09:41,A-101,22.9,345.0,0,待机,维持
23:09:43,A-101,23.2,278.0,0,待机,维持
23:09:45,A-101,21.2,298.0,0,制热中,维持
23:09:47,A-101,22.1,368.0,0,待机,维持
23:09:50,A-101,26.6,402.0,0,制冷中,维持
23:09:52,A-101,25.7,544.0,0,待机,调暗
23:09:54,A-101,25.0,511.0,0,待机,调暗
23:09:56,A-101,23.1,262.0,0,待机,维持
23:09:58,A-101,24.3,328.0,0,待机,维持
23:10:00,A-101,22.8,327.0,0,待机,维持
23:10:02,A-101,25.0,325.0,0,待机,维持
23:10:04,A-101,21.5,378.0,0,制热中,维持
23:10:07,A-101,26.5,261.0,0,制冷中,维持
23:10:09,A-101,23.1,251.0,0,待机,维持
23:10:11,A-101,26.5,327.0,0,制冷中,维持
23:10:13,A-101,25.2,257.0,0,待机,维持
23:10:15,A-101,24.5,393.0,0,待机,维持
23:10:17,A-101,23.3,526.0,0,待机,调暗
23:10:19,A-101,26.2,304.0,0,制冷中,维持
23:10:21,A-101,25.7,273.0,0,待机,维持
23:10:24,A-101,21.4,341.0,0,制热中,维持
23:10:26,A-101,26.6,427.0,0,制冷中,维持
23:10:28,A-101,21.6,363.0,0,制热中,维持
23:10:30,A-101,22.9,429.0,0,待机,维持
23:10:32,A-101,23.3,357.0,0,待机,维持
23:10:34,A-101,25.2,421.0,0,待机,维持
23:10:36,A-101,26.7,446.0,0,制冷中,维持
23:10:38,A-101,23.5,335.0,0,待机,维持
23:10:40,A-101,23.1,509.0,0,待机,调暗
23:10:43,A-101,22.6,414.0,0,待机,维持
23:10:45,A-101,23.6,378.0,0,待机,维持
23:10:47,A-101,26.6,318.0,0,制冷中,维持
23:10:49,A-101,21.5,324.0,0,制热中,维持
23:10:51,A-101,22.9,409.0,0,待机,维持
23:10:53,A-101,25.4,490.0,0,待机,维持
23:10:55,A-101,23.2,441.0,0,待机,维持
23:10:57,A-101,24.0,499.0,0,待机,维持
23:10:59,A-101,24.1,548.0,0,待机,调暗
23:11:02,A-101,24.0,254.0,0,待机,维持
